;porosity;characteristical_pore_length;sample_id;MEAN_pore_row_length;median_pore_row_length;MEAN_material_row_length;median_material_row_length;sum_medians;sum_MEANS
155;0,45;30,0;2,0;98,17737556561086;77,0;117,88773747841105;95,0;172,0;216,06511304402193
156;0,5;5,0;2,0;21,24103448275862;17,0;20,640908320623623;16,0;33,0;41,881942803382245
157;0,5;10,0;2,0;39,79726962457338;30,0;44,25853154084798;31,0;61,0;84,05580116542137
158;0,5;15,0;2,0;57,20379575237234;47,0;57,28495403967102;42,0;89,0;114,48874979204336
159;0,5;20,0;2,0;74,82226211849192;72,0;65,02547425474255;54,0;126,0;139,84773637323445
160;0,5;25,0;2,0;89,50410754294249;64,0;91,02109090909092;69,0;133,0;180,5251984520334
161;0,5;30,0;2,0;96,8619119878604;75,0;79,98364008179959;68,0;143,0;176,84555206966
162;0,1;5,0;3,0;9,470337340054284;9,0;73,35417359494512;55,0;64,0;82,82451093499941
163;0,1;10,0;3,0;17,595744680851062;14,0;122,25985563575792;90,0;104,0;139,85560031660899
164;0,1;15,0;3,0;27,216473072861668;22,0;162,63056379821958;135,5;157,5;189,84703687108126
165;0,1;20,0;3,0;33,73770491803279;29,0;167,6236559139785;137,0;166,0;201,3613608320113
166;0,1;25,0;3,0;40,85612788632327;36,0;225,3786802030457;214,0;250,0;266,234808089369
167;0,1;30,0;3,0;68,64878048780488;61,0;213,64926108374385;217,0;278,0;282,29804157154877
168;0,15;5,0;3,0;11,343302180685358;10,0;57,957210336204504;45,0;55,0;69,30051251688987
169;0,15;10,0;3,0;21,86454183266932;19,0;92,225;72,0;91,0;114,08954183266931
170;0,15;15,0;3,0;32,04809286898839;29,0;125,66991473812423;103,0;132,0;157,7180076071126
171;0,15;20,0;3,0;54,158125915080525;46,0;166,00957701516361;163,0;209,0;220,16770293024413
172;0,15;25,0;3,0;46,35098335854766;43,0;167,99529780564262;147,0;190,0;214,3462811641903
173;0,15;30,0;3,0;50,68201438848921;50,0;199,21747388414056;193,0;243,0;249,89948827262975
174;0,2;5,0;3,0;12,295863993910174;10,0;45,63315532853494;34,0;44,0;57,929019322445114
